Date,Price,Open,High,Low,Vol.,Change %
12/26/2019,"10,536","10,595","10,595","10,476",607.55K,-0.56%
12/25/2019,"10,595","10,417","10,655","10,357",1.18M,2.30%
12/24/2019,"10,357","10,357","10,417","10,238",359.77K,0.00%
12/23/2019,"10,357","10,179","10,357","10,179",427.30K,1.16%
12/20/2019,"10,238","10,179","10,238","10,179",265.40K,0.58%
12/19/2019,"10,179","10,179","10,298","10,060",608.57K,0.59%
12/18/2019,"10,119","10,060","10,179","10,060",285.19K,0.59%
12/17/2019,"10,060","10,060","10,060","10,000",360.16K,0.00%
12/16/2019,"10,060","10,060","10,119","10,000",237.50K,0.00%
12/13/2019,"10,060","10,060","10,179","10,060",416.37K,0.60%
12/12/2019,"10,000","10,000","10,060","9,941",558.00K,0.00%
12/11/2019,"10,000","9,941","10,000","9,941",473.31K,0.60%
12/10/2019,"9,941","10,000","10,000","9,881",874.55K,-0.60%
12/9/2019,"10,000","10,000","10,060","9,941",375.80K,0.00%
12/6/2019,"10,000","10,000","10,060","9,941",318.22K,-0.59%
12/5/2019,"10,060","10,119","10,119","9,941",881.02K,-0.59%
12/4/2019,"10,119","10,000","10,119","10,000",615.94K,2.41%
12/3/2019,"9,881","10,357","10,476","9,821",1.26M,-2.35%
12/2/2019,"10,119","10,298","10,298","10,060",656.18K,-0.59%
11/29/2019,"10,179","10,238","10,238","10,179",639.68K,-0.58%
11/28/2019,"10,238","10,357","10,357","10,119",1.24M,-1.15%
11/27/2019,"10,357","10,357","10,417","10,298",412.35K,0.58%
11/26/2019,"10,298","10,298","10,417","10,298",549.00K,0.00%
11/25/2019,"10,298","10,298","10,357","10,179",413.44K,-1.14%
11/22/2019,"10,417","10,417","10,476","10,238",1.18M,0.00%
11/21/2019,"10,417","10,417","10,417","10,357",710.71K,-0.57%
11/20/2019,"10,476","10,476","10,595","10,417",1.25M,0.00%
11/19/2019,"10,476","10,417","10,536","10,417",604.12K,0.57%
11/18/2019,"10,417","10,536","10,595","10,417",2.03M,-1.13%
11/15/2019,"10,536","10,536","10,595","10,476",708.66K,0.57%
11/14/2019,"10,476","10,595","10,595","10,476",740.15K,-1.12%
11/13/2019,"10,595","10,655","10,655","10,536",547.35K,-0.56%
11/12/2019,"10,655","10,595","10,655","10,595",862.83K,0.56%
11/11/2019,"10,595","10,714","10,774","10,595",666.09K,-1.11%
11/8/2019,"10,714","10,714","10,893","10,655",1.08M,-0.55%
11/7/2019,"10,774","10,655","10,833","10,655",2.62M,1.69%
11/6/2019,"10,595","10,595","10,774","10,595",1.40M,0.00%
11/5/2019,"10,595","10,655","10,655","10,536",668.16K,-0.56%
11/4/2019,"10,655","10,595","10,714","10,476",858.92K,0.56%
11/1/2019,"10,595","10,417","10,595","10,417",721.84K,1.71%
10/31/2019,"10,417","10,595","10,595","10,417",1.78M,-1.68%
10/30/2019,"10,595","10,595","10,595","10,536",1.34M,0.00%
