Date,Price,Open,High,Low,Vol.,Change %
12/14/2021,"28,100.00","28,550.00","28,800.00","28,100.00",11.43M,-1.92%
12/13/2021,"28,650.00","28,600.00","29,000.00","28,350.00",10.71M,0.17%
12/10/2021,"28,600.00","28,850.00","29,050.00","28,400.00",9.89M,-0.87%
12/9/2021,"28,850.00","28,500.00","28,900.00","28,400.00",11.92M,0.87%
12/8/2021,"28,600.00","28,050.00","28,800.00","27,800.00",15.75M,1.96%
12/7/2021,"28,050.00","27,300.00","28,100.00","26,900.00",12.83M,3.89%
12/6/2021,"27,000.00","28,000.00","28,400.00","26,400.00",26.47M,-3.57%
12/3/2021,"28,000.00","29,400.00","29,550.00","28,000.00",23.48M,-4.44%
12/2/2021,"29,300.00","29,900.00","30,050.00","29,300.00",13.46M,-2.01%
12/1/2021,"29,900.00","28,800.00","29,900.00","28,750.00",19.24M,3.46%
11/30/2021,"28,900.00","30,250.00","30,300.00","28,650.00",35.42M,-3.34%
11/29/2021,"29,900.00","30,100.00","30,600.00","29,800.00",38.63M,-3.08%
11/26/2021,"30,850.00","30,700.00","31,450.00","30,500.00",29.14M,0.65%
11/25/2021,"30,650.00","31,000.00","31,250.00","30,350.00",28.51M,0.66%
11/24/2021,"30,450.00","28,500.00","30,450.00","28,350.00",67.32M,6.84%
11/23/2021,"28,500.00","28,950.00","28,950.00","28,300.00",10.73M,-1.04%
11/22/2021,"28,800.00","28,000.00","29,500.00","27,900.00",35.71M,3.23%
11/19/2021,"27,900.00","27,700.00","28,450.00","27,000.00",22.04M,0.90%
11/18/2021,"27,650.00","28,150.00","28,150.00","27,550.00",12.18M,-1.25%
11/17/2021,"28,000.00","28,100.00","28,300.00","27,600.00",10.32M,-0.18%
11/16/2021,"28,050.00","28,000.00","28,800.00","27,700.00",22.04M,0.36%
11/15/2021,"27,950.00","28,400.00","28,400.00","27,650.00",12.70M,-0.53%
11/12/2021,"28,100.00","27,450.00","28,450.00","27,300.00",17.02M,1.44%
11/11/2021,"27,700.00","28,550.00","28,600.00","27,700.00",22.52M,-2.64%
11/10/2021,"28,450.00","28,200.00","28,750.00","28,150.00",16.09M,1.25%
11/9/2021,"28,100.00","28,050.00","28,800.00","27,300.00",26.35M,0.90%
11/8/2021,"27,850.00","27,650.00","28,000.00","27,300.00",22.64M,0.72%
11/5/2021,"27,650.00","27,500.00","27,750.00","27,350.00",9.44M,0.73%
11/4/2021,"27,450.00","27,900.00","28,150.00","27,450.00",13.51M,-1.61%
11/3/2021,"27,900.00","26,800.00","28,450.00","26,500.00",41.00M,4.69%
11/2/2021,"26,650.00","26,700.00","26,800.00","26,500.00",9.86M,0.19%
11/1/2021,"26,600.00","26,600.00","27,050.00","26,200.00",14.69M,0.00%
10/29/2021,"26,600.00","26,600.00","26,700.00","26,200.00",10.00M,-0.37%
10/28/2021,"26,700.00","26,600.00","26,700.00","26,000.00",11.06M,0.75%
10/27/2021,"26,500.00","25,750.00","26,650.00","25,650.00",18.10M,3.52%
10/26/2021,"25,600.00","25,600.00","25,750.00","25,200.00",10.16M,0.00%
10/25/2021,"25,600.00","26,000.00","26,250.00","25,600.00",15.09M,-2.29%
10/22/2021,"26,200.00","26,400.00","26,400.00","26,000.00",6.24M,0.38%
10/21/2021,"26,100.00","26,500.00","26,600.00","26,000.00",8.67M,-0.76%
10/20/2021,"26,300.00","26,400.00","26,750.00","25,650.00",14.90M,0.38%
10/19/2021,"26,200.00","26,900.00","26,950.00","26,200.00",8.32M,-2.60%
10/18/2021,"26,900.00","27,000.00","27,200.00","26,850.00",14.77M,0.19%
10/15/2021,"26,850.00","26,500.00","27,200.00","26,400.00",18.82M,1.70%
10/14/2021,"26,400.00","26,200.00","26,700.00","26,200.00",8.76M,0.57%
10/13/2021,"26,250.00","26,700.00","26,750.00","26,200.00",9.60M,-1.32%
10/12/2021,"26,600.00","26,750.00","26,800.00","26,350.00",11.68M,0.38%
10/11/2021,"26,500.00","25,900.00","26,600.00","25,900.00",16.46M,3.11%
10/8/2021,"25,700.00","25,600.00","26,000.00","25,300.00",9.33M,0.78%
10/7/2021,"25,500.00","25,500.00","25,750.00","24,900.00",10.02M,0.00%
10/6/2021,"25,500.00","25,800.00","25,800.00","25,450.00",11.70M,-0.97%
10/5/2021,"25,750.00","24,400.00","25,750.00","24,400.00",13.48M,5.97%
10/4/2021,"24,300.00","24,500.00","24,800.00","24,050.00",15.74M,-1.62%
10/1/2021,"24,700.00","25,650.00","25,650.00","24,500.00",24.15M,-3.89%
9/30/2021,"25,700.00","25,850.00","26,150.00","25,700.00",10.10M,-0.39%
9/29/2021,"25,800.00","26,500.00","26,550.00","25,700.00",19.93M,-2.82%
9/28/2021,"26,550.00","26,350.00","26,600.00","26,200.00",9.95M,0.19%
9/27/2021,"26,500.00","27,000.00","27,100.00","26,500.00",10.52M,-0.93%
9/24/2021,"26,750.00","26,700.00","27,200.00","26,600.00",13.85M,0.56%
