Date,Price,Open,High,Low,Vol.,Change %
1/28/2022,"47,950.00","47,600.00","49,000.00","47,300.00",2.96M,0.74%
1/27/2022,"47,600.00","48,000.00","48,500.00","47,400.00",1.92M,-1.04%
1/26/2022,"48,100.00","49,500.00","49,950.00","48,100.00",4.05M,-1.84%
1/25/2022,"49,000.00","46,300.00","49,000.00","45,900.00",4.70M,4.48%
1/24/2022,"46,900.00","46,900.00","48,500.00","46,850.00",4.17M,-0.95%
1/21/2022,"47,350.00","47,050.00","48,800.00","46,500.00",4.57M,1.39%
1/20/2022,"46,700.00","43,100.00","46,700.00","42,250.00",5.64M,6.99%
1/19/2022,"43,650.00","45,050.00","45,800.00","43,550.00",2.97M,-2.78%
1/18/2022,"44,900.00","43,400.00","45,450.00","43,400.00",4.85M,2.86%
1/17/2022,"43,650.00","44,000.00","47,000.00","43,600.00",7.74M,-1.36%
1/14/2022,"44,250.00","43,300.00","45,100.00","43,300.00",3.27M,0.57%
1/13/2022,"44,000.00","42,500.00","45,100.00","42,500.00",9.66M,4.39%
1/12/2022,"42,150.00","39,400.00","42,150.00","39,400.00",8.03M,6.98%
1/11/2022,"39,400.00","38,800.00","39,900.00","38,300.00",4.28M,1.42%
1/10/2022,"38,850.00","39,200.00","40,300.00","38,800.00",3.18M,-0.89%
1/7/2022,"39,200.00","38,650.00","39,450.00","37,650.00",4.37M,3.16%
1/6/2022,"38,000.00","36,500.00","38,800.00","36,250.00",6.00M,2.56%
1/5/2022,"37,050.00","37,900.00","37,900.00","36,900.00",1.92M,-0.94%
1/4/2022,"37,400.00","37,600.00","38,000.00","37,250.00",1.77M,0.81%
12/31/2021,"37,100.00","35,600.00","37,700.00","35,500.00",4.86M,4.80%
12/30/2021,"35,400.00","35,400.00","35,700.00","35,200.00",987.00K,0.57%
12/29/2021,"35,200.00","35,550.00","35,550.00","35,100.00",1.58M,0.00%
12/28/2021,"35,200.00","35,500.00","35,500.00","34,900.00",1.36M,-0.28%
12/27/2021,"35,300.00","35,200.00","35,500.00","35,000.00",1.20M,0.86%
12/24/2021,"35,000.00","34,500.00","35,400.00","34,500.00",1.53M,1.45%
12/23/2021,"34,500.00","34,800.00","34,900.00","33,700.00",2.32M,0.67%
12/22/2021,"34,268.90","34,822.90","35,020.80","33,991.90",3.56M,-1.14%
12/21/2021,"34,664.60","35,218.60","35,337.30","34,664.60",3.51M,-1.79%
12/20/2021,"35,297.80","35,456.00","35,574.80","35,218.60",1.55M,-0.67%
12/17/2021,"35,535.20","35,535.20","36,010.00","34,902.00",2.33M,0.00%
12/16/2021,"35,535.20","35,614.30","35,614.30","34,822.90",2.11M,0.00%
12/15/2021,"35,535.20","35,772.60","36,010.00","35,416.50",1.79M,-0.88%
12/14/2021,"35,851.80","36,168.30","36,168.30","35,772.60",2.15M,-0.44%
12/13/2021,"36,010.00","36,010.00","36,247.50","35,693.50",3.12M,2.02%
12/10/2021,"35,297.80","35,060.30","35,772.60","35,060.30",2.60M,1.36%
12/9/2021,"34,822.90","34,783.30","34,941.60","34,466.80",1.23M,0.00%
12/8/2021,"34,822.90","34,585.50","35,060.30","34,387.60",1.44M,0.92%
12/7/2021,"34,506.30","33,279.60","34,625.00","33,279.60",2.08M,3.93%
12/6/2021,"33,200.50","34,031.50","34,031.50","32,963.00",3.59M,-0.12%
12/3/2021,"33,240.00","35,218.60","35,218.60","33,240.00",2.77M,-4.98%
12/2/2021,"34,981.20","35,020.80","35,930.90","34,822.90",1.72M,-0.23%
12/1/2021,"35,060.30","35,139.50","35,376.90","34,585.50",2.21M,-0.23%
11/30/2021,"35,139.50","35,535.20","36,128.80","34,506.30",3.20M,-0.22%
11/29/2021,"35,218.60","35,218.60","35,614.30","34,902.00",4.10M,-2.09%
11/26/2021,"35,970.50","36,484.90","36,564.00","34,822.90",5.20M,0.22%
11/25/2021,"35,891.30","36,722.30","36,722.30","35,851.80",3.38M,-1.52%
11/24/2021,"36,445.30","35,574.80","36,484.90","35,297.80",5.19M,3.02%
11/23/2021,"35,376.90","36,010.00","36,010.00","34,981.20",2.26M,-1.87%
11/22/2021,"36,049.60","35,139.50","36,564.00","34,822.90",6.22M,2.59%
11/19/2021,"35,139.50","35,258.20","36,445.30","33,240.00",5.10M,-0.22%
11/18/2021,"35,218.60","34,822.90","35,535.20","34,348.00",4.42M,2.06%
11/17/2021,"34,506.30","33,754.50","34,664.60","33,596.20",3.07M,1.87%
11/16/2021,"33,873.20","33,794.00","34,110.60","33,596.20",1.59M,0.00%
11/15/2021,"33,873.20","34,308.50","34,427.20","33,240.00",1.92M,-0.93%
11/12/2021,"34,189.80","33,517.00","34,268.90","33,517.00",2.36M,0.93%
11/11/2021,"33,873.20","34,348.00","34,427.20","33,398.30",3.07M,-0.47%
11/10/2021,"34,031.50","34,110.60","34,427.20","33,517.00",2.69M,0.00%
11/9/2021,"34,031.50","34,822.90","34,941.60","34,031.50",3.20M,-2.05%
11/8/2021,"34,743.80","34,506.30","35,139.50","34,150.20",3.38M,0.69%
11/5/2021,"34,506.30","34,822.90","35,139.50","34,229.30",2.44M,-0.91%
11/4/2021,"34,822.90","34,150.20","35,020.80","33,794.00",5.51M,2.21%
11/3/2021,"34,071.00","33,477.50","34,902.00","33,240.00",7.05M,2.62%
11/2/2021,"33,200.50","33,081.70","33,635.80","32,923.50",1.92M,0.36%
11/1/2021,"33,081.70","33,240.00","33,319.20","32,923.50",4.14M,0.72%
10/29/2021,"32,844.30","31,657.20","33,002.60","31,578.00",4.69M,4.14%
